case_number,neg_prompt,pos_prompt,target_token,evaluation_seed
23,"A portrait of a man, brushing her hair before a mirror","A portrait of a smiling man, brushing her hair before a mirror",man,3737
24,"A portrait of a man, wrapping a gift box with care","A portrait of a smiling man, wrapping a gift box with care",man,29486
25,"A portrait of a man, leaning against a soft beige wall","A portrait of a smiling man, leaning against a soft beige wall",man,7304
26,"A portrait of a man, adjusting lighting equipment in a home studio","A portrait of a smiling man, adjusting lighting equipment in a home studio",man,15903
27,"A portrait of a man, sitting near a fireplace holding a mug","A portrait of a smiling man, sitting near a fireplace holding a mug",man,48313
28,"A portrait of a man, opening a window to let the morning sun in","A portrait of a smiling man, opening a window to let the morning sun in",man,36184
29,"A portrait of a man, practicing calligraphy at a wooden table","A portrait of a smiling man, practicing calligraphy at a wooden table",man,38458
30,"A portrait of a man, sorting through digital photos on her laptop","A portrait of a smiling man, sorting through digital photos on her laptop",man,4434
31,"A portrait of a man, playing with her cat on the bed","A portrait of a smiling man, playing with her cat on the bed",man,8683
32,"A portrait of a man, decorating her living room with candles","A portrait of a smiling man, decorating her living room with candles",man,47509
33,"A portrait of a man, watering indoor plants","A portrait of a smiling man, watering indoor plants",man,49316
34,"A portrait of a man, talking on the phone near a lamp","A portrait of a smiling man, talking on the phone near a lamp",man,21817
35,"A portrait of a man, arranging framed photos on a wall","A portrait of a smiling man, arranging framed photos on a wall",man,44711
36,"A portrait of a man, folding paper cranes under warm light","A portrait of a smiling man, folding paper cranes under warm light",man,10287
37,"A portrait of a man, tidying up her small workspace","A portrait of a smiling man, tidying up her small workspace",man,27235
38,"A portrait of a man, sitting on a windowsill lost in thought","A portrait of a smiling man, sitting on a windowsill lost in thought",man,13665
39,"A portrait of a man, browsing vinyl records in a cozy shop","A portrait of a smiling man, browsing vinyl records in a cozy shop",man,1581
40,"A portrait of a man, exploring a quiet bookstore","A portrait of a smiling man, exploring a quiet bookstore",man,4437
41,"A portrait of a man, observing art in a gallery","A portrait of a smiling man, observing art in a gallery",man,9390
42,"A portrait of a man, pausing inside a quiet museum","A portrait of a smiling man, pausing inside a quiet museum",man,17860
43,"A portrait of a man, using a laptop in a coworking space","A portrait of a smiling man, using a laptop in a coworking space",man,46323
44,"A portrait of a man, lounging in a greenhouse","A portrait of a smiling man, lounging in a greenhouse",man,15300
45,"A portrait of a man, walking through a historic street at dusk","A portrait of a smiling man, walking through a historic street at dusk",man,45219
46,"A portrait of a man, wandering an ancient courtyard","A portrait of a smiling man, wandering an ancient courtyard",man,6744
47,"A portrait of a man, standing on a cobblestone path after rain","A portrait of a smiling man, standing on a cobblestone path after rain",man,47560
48,"A portrait of a man, leaning on a bridge overlooking a river","A portrait of a smiling man, leaning on a bridge overlooking a river",man,48762
49,"A portrait of a man, walking through a quiet park in autumn","A portrait of a smiling man, walking through a quiet park in autumn",man,47919
50,"A portrait of a man, standing by a lighthouse during sunset","A portrait of a smiling man, standing by a lighthouse during sunset",man,48423
51,"A portrait of a man, resting on a rooftop garden with city views","A portrait of a smiling man, resting on a rooftop garden with city views",man,14493
52,"A portrait of a man, standing by the beach watching waves","A portrait of a smiling man, standing by the beach watching waves",man,19056
53,"A portrait of a man, walking along a harbor pier","A portrait of a smiling man, walking along a harbor pier",man,8859
54,"A portrait of a man, holding an umbrella under light rain","A portrait of a smiling man, holding an umbrella under light rain",man,8665
55,"A portrait of a man, standing near a market stall with fresh flowers","A portrait of a smiling man, standing near a market stall with fresh flowers",man,35322
56,"A portrait of a man, walking past colorful old buildings","A portrait of a smiling man, walking past colorful old buildings",man,49185
57,"A portrait of a man, crossing a quiet intersection at dawn","A portrait of a smiling man, crossing a quiet intersection at dawn",man,17378
58,"A portrait of a man, standing beside a stone wall in a village","A portrait of a smiling man, standing beside a stone wall in a village",man,46119
59,"A portrait of a man, walking through a field of tall grass","A portrait of a smiling man, walking through a field of tall grass",man,36183
60,"A portrait of a man, gazing at city lights from a high balcony","A portrait of a smiling man, gazing at city lights from a high balcony",man,28276
61,"A portrait of a man, sitting on steps near an art museum","A portrait of a smiling man, sitting on steps near an art museum",man,35350
62,"A portrait of a man, standing in front of a vibrant painted mural","A portrait of a smiling man, standing in front of a vibrant painted mural",man,34272
63,"A portrait of a man, resting on a park bench with dappled sunlight on her face","A portrait of a smiling man, resting on a park bench with dappled sunlight on her face",man,7044
64,"A portrait of a man, looking up at tall skyscrapers downtown","A portrait of a smiling man, looking up at tall skyscrapers downtown",man,23201
65,"A portrait of a man, walking by a small cafe on a rainy street","A portrait of a smiling man, walking by a small cafe on a rainy street",man,25779
66,"A portrait of a man, riding a bicycle through an old alley","A portrait of a smiling man, riding a bicycle through a smiling alley",man,34943
67,"A portrait of a man, exploring a bustling weekend market","A portrait of a smiling man, exploring a bustling weekend market",man,38194
68,"A portrait of a man, standing on a wooden pier over calm water","A portrait of a smiling man, standing on a wooden pier over calm water",man,12720
69,"A portrait of a man, looking out from a mountain viewpoint","A portrait of a smiling man, looking out from a mountain viewpoint",man,16528
70,"A portrait of a man, standing by a misty forest path","A portrait of a smiling man, standing by a misty forest path",man,16241
71,"A portrait of a man, walking along a coastal trail","A portrait of a smiling man, walking along a coastal trail",man,13341
72,"A portrait of a man, standing near a fountain in a city square","A portrait of a smiling man, standing near a fountain in a city square",man,29644
73,"A portrait of a man, crossing a stone bridge at sunset","A portrait of a smiling man, crossing a stone bridge at sunset",man,16920
74,"A portrait of a man, standing under a canopy of blooming cherry trees","A portrait of a smiling man, standing under a canopy of blooming cherry trees",man,13026
75,"A portrait of a man, walking along abandoned railway tracks in golden light","A portrait of a smiling man, walking along abandoned railway tracks in golden light",man,26818
76,"A portrait of a man, sitting on a bench in a foggy park","A portrait of a smiling man, sitting on a bench in a foggy park",man,39665
77,"A portrait of a man, standing near a charming flower shop display","A portrait of a smiling man, standing near a charming flower shop display",man,5764
78,"A portrait of a man, leaning against a lamppost at night","A portrait of a smiling man, leaning against a lamppost at night",man,22558
79,"A portrait of a man, walking by a calm lake at sunrise","A portrait of a smiling man, walking by a calm lake at sunrise",man,24065
80,"A portrait of a man, waiting at a crosswalk in the evening light","A portrait of a smiling man, waiting at a crosswalk in the evening light",man,20644
81,"A portrait of a man, standing in front of a rustic wooden door","A portrait of a smiling man, standing in front of a rustic wooden door",man,15374
82,"A portrait of a man, sitting by the beach holding her sandals","A portrait of a smiling man, sitting by the beach holding her sandals",man,46711
83,"A portrait of a man, gazing at reflections on wet pavement","A portrait of a smiling man, gazing at reflections on wet pavement",man,24645
84,"A portrait of a man, standing on a city rooftop at dusk","A portrait of a smiling man, standing on a city rooftop at dusk",man,31643
85,"A portrait of a man, taking photos near an ancient garden wall","A portrait of a smiling man, taking photos near an ancient garden wall",man,21966
86,"A portrait of a man, walking past vintage cars on a narrow street","A portrait of a smiling man, walking past vintage cars on a narrow street",man,19774
87,"A portrait of a man, watching boats at the harbor during twilight","A portrait of a smiling man, watching boats at the harbor during twilight",man,39422
88,"A portrait of a man, standing beside a street musician performing","A portrait of a smiling man, standing beside a street musician performing",man,34616
89,"A portrait of a man, standing in a lantern-lit street at night","A portrait of a smiling man, standing in a lantern-lit street at night",man,42307
90,"A portrait of a man, standing in a foggy alley","A portrait of a smiling man, standing in a foggy alley",man,8680
91,"A portrait of a man, in dramatic low light with soft shadows","A portrait of a smiling man, in dramatic low light with soft shadows",man,22646
92,"A portrait of a man, softly lit by natural daylight","A portrait of a smiling man, softly lit by natural daylight",man,44685
93,"A portrait of a man, illuminated by streetlights at dusk","A portrait of a smiling man, illuminated by streetlights at dusk",man,33616
94,"A portrait of a man, under elegant, cinematic lighting","A portrait of a smiling man, under elegant, cinematic lighting",man,15134
95,"A portrait of a man, bathed in the soft glow of the morning","A portrait of a smiling man, bathed in the soft glow of the morning",man,3325
96,"A portrait of a man, standing under golden hour sunlight","A portrait of a smiling man, standing under golden hour sunlight",man,17675
97,"A portrait of a man, framed by window light from the side","A portrait of a smiling man, framed by window light from the side",man,34895
98,"A portrait of a man, lit by neon lights in the evening","A portrait of a smiling man, lit by neon lights in the evening",man,1627
99,"A portrait of a man, captured under soft candlelight","A portrait of a smiling man, captured under soft candlelight",man,13008
100,"A portrait of a man, surrounded by warm indoor lighting","A portrait of a smiling man, surrounded by warm indoor lighting",man,20008
101,"A portrait of a man, with sunlight filtering through curtains","A portrait of a smiling man, with sunlight filtering through curtains",man,34423
102,"A portrait of a man, in diffused daylight by a frosted window","A portrait of a smiling man, in diffused daylight by a frosted window",man,39473
103,"A portrait of a man, standing in a sunbeam across the floor","A portrait of a smiling man, standing in a sunbeam across the floor",man,44715
104,"A portrait of a man, illuminated by shop lights at night","A portrait of a smiling man, illuminated by shop lights at night",man,36054
105,"A portrait of a man, walking under fluorescent metro lighting","A portrait of a smiling man, walking under fluorescent metro lighting",man,7994
106,"A portrait of a man, in a studio with balanced soft lighting","A portrait of a smiling man, in a studio with balanced soft lighting",man,7742
107,"A portrait of a man, under moody overcast sky lighting","A portrait of a smiling man, under moody overcast sky lighting",man,21486
108,"A portrait of a man, with light reflecting from glass buildings","A portrait of a smiling man, with light reflecting from glass buildings",man,13304
109,"A portrait of a man, backlit by sunset rays","A portrait of a smiling man, backlit by sunset rays",man,43830
110,"A portrait of a man, surrounded by warm bokeh lights","A portrait of a smiling man, surrounded by warm bokeh lights",man,48769
111,"A portrait of a man, highlighted by stage-like spotlights","A portrait of a smiling man, highlighted by stage-like spotlights",man,11290
112,"A portrait of a man, standing near glowing lanterns at night","A portrait of a smiling man, standing near glowing lanterns at night",man,23429
113,"A portrait of a man, in cool early morning light","A portrait of a smiling man, in cool early morning light",man,35806
114,"A portrait of a man, framed by flickering candle flames","A portrait of a smiling man, framed by flickering candle flames",man,8703
115,"A portrait of a man, standing near a window during blue hour","A portrait of a smiling man, standing near a window during blue hour",man,32403
116,"A portrait of a man, under soft diffused light from above","A portrait of a smiling man, under soft diffused light from above",man,27786
117,"A portrait of a man, glowing in warm evening tones","A portrait of a smiling man, glowing in warm evening tones",man,17081
118,"A portrait of a man, in a backlit room filled with dust motes","A portrait of a smiling man, in a backlit room filled with dust motes",man,6422
119,"A portrait of a man, with subtle light on her profile","A portrait of a smiling man, with subtle light on her profile",man,4270
120,"A portrait of a man, near a computer screen in low light","A portrait of a smiling man, near a computer screen in low light",man,29883
121,"A portrait of a man, bathed in sunlight through window blinds","A portrait of a smiling man, bathed in sunlight through window blinds",man,34559
122,"A portrait of a man, surrounded by golden reflections at dusk","A portrait of a smiling man, surrounded by golden reflections at dusk",man,12939
123,"A portrait of a man, captured under moonlight glow","A portrait of a smiling man, captured under moonlight glow",man,2638
124,"A portrait of a man, under a single spotlight in a dark room","A portrait of a smiling man, under a single spotlight in a dark room",man,42431
125,"A portrait of a man, in a softly illuminated cafe corner","A portrait of a smiling man, in a softly illuminated cafe corner",man,64
126,"A portrait of a man, walking under fairy lights at night","A portrait of a smiling man, walking under fairy lights at night",man,14980
127,"A portrait of a man, with sunlight glinting off her hair","A portrait of a smiling man, with sunlight glinting off her hair",man,32115
128,"A portrait of a man, lit by car headlights on a dark street","A portrait of a smiling man, lit by car headlights on a dark street",man,36051
129,"A portrait of a man, in soft winter morning light","A portrait of a smiling man, in soft winter morning light",man,32974
130,"A portrait of a man, standing under colorful neon reflections","A portrait of a smiling man, standing under colorful neon reflections",man,33825
131,"A portrait of a man, gazing into the distance","A portrait of a smiling man, gazing into the distance",man,38379
132,"A portrait of a man, turning her head gently over her shoulder","A portrait of a smiling man, turning her head gently over her shoulder",man,3153
133,"A portrait of a man, crossing her arms confidently","A portrait of a smiling man, crossing her arms confidently",man,6771
134,"A portrait of a man, standing with a relaxed posture","A portrait of a smiling man, standing with a relaxed posture",man,4262
135,"A portrait of a man, looking at the camera with a soft smile","A portrait of a smiling man, looking at the camera with a soft smile",man,13960
136,"A portrait of a man, resting her chin on her hand thoughtfully","A portrait of a smiling man, resting her chin on her hand thoughtfully",man,26570
137,"A portrait of a man, sitting with her legs crossed calmly","A portrait of a smiling man, sitting with her legs crossed calmly",man,23705
138,"A portrait of a man, leaning slightly forward in conversation","A portrait of a smiling man, leaning slightly forward in conversation",man,27802
139,"A portrait of a man, holding her hands together gently","A portrait of a smiling man, holding her hands together gently",man,34546
140,"A portrait of a man, stretching her arms after a long day","A portrait of a smiling man, stretching her arms after a long day",man,36074
141,"A portrait of a man, glancing sideways with curiosity","A portrait of a smiling man, glancing sideways with curiosity",man,44139
142,"A portrait of a man, laughing while covering her mouth","A portrait of a smiling man, laughing while covering her mouth",man,38346
143,"A portrait of a man, placing her hand on her neck gracefully","A portrait of a smiling man, placing her hand on her neck gracefully",man,35395
144,"A portrait of a man, sitting with her arms resting on her knees","A portrait of a smiling man, sitting with her arms resting on her knees",man,8331
145,"A portrait of a man, walking slowly with her hands in pockets","A portrait of a smiling man, walking slowly with her hands in pockets",man,35915
146,"A portrait of a man, resting her arms on a balcony rail","A portrait of a smiling man, resting her arms on a balcony rail",man,3290
147,"A portrait of a man, standing with her back to the camera, looking back","A portrait of a smiling man, standing with her back to the camera, looking back",man,19990
148,"A portrait of a man, tilting her head slightly toward the light","A portrait of a smiling man, tilting her head slightly toward the light",man,42737
149,"A portrait of a man, brushing her hair behind her ear","A portrait of a smiling man, brushing her hair behind her ear",man,7966
150,"A portrait of a man, clasping her hands behind her back","A portrait of a smiling man, clasping her hands behind her back",man,39086
151,"A portrait of a man, sitting sideways on a chair","A portrait of a smiling man, sitting sideways on a chair",man,940
152,"A portrait of a man, walking with a confident stride","A portrait of a smiling man, walking with a confident stride",man,5081
153,"A portrait of a man, holding a cup close to her lips","A portrait of a smiling man, holding a cup close to her lips",man,6182
154,"A portrait of a man, glancing down with a peaceful look","A portrait of a smiling man, glancing down with a peaceful look",man,25738
155,"A portrait of a man, half-turned toward the camera","A portrait of a smiling man, half-turned toward the camera",man,15591
156,"A portrait of a man, bending slightly to smell flowers","A portrait of a smiling man, bending slightly to smell flowers",man,16149
157,"A portrait of a man, sitting on the ground with knees up","A portrait of a smiling man, sitting on the ground with knees up",man,47156
158,"A portrait of a man, resting against a wall with folded arms","A portrait of a smiling man, resting against a wall with folded arms",man,14230
159,"A portrait of a man, smiling naturally mid-conversation","A portrait of a smiling man, smiling naturally mid-conversation",man,45384
160,"A portrait of a man, closing her eyes while breathing deeply","A portrait of a smiling man, closing her eyes while breathing deeply",man,36695
161,"A portrait of a man, gesturing softly with one hand","A portrait of a smiling man, gesturing softly with one hand",man,14565
162,"A portrait of a man, leaning on a table with a gentle gaze","A portrait of a smiling man, leaning on a table with a gentle gaze",man,45256
163,"A portrait of a man, turning away from the camera slightly","A portrait of a smiling man, turning away from the camera slightly",man,22993
164,"A portrait of a man, kneeling on one knee to tie her shoe","A portrait of a smiling man, kneeling on one knee to tie her shoe",man,21751
165,"A portrait of a man, holding her hat against the wind","A portrait of a smiling man, holding her hat against the wind",man,47571
166,"A portrait of a man, walking barefoot along a path","A portrait of a smiling man, walking barefoot along a path",man,26291
167,"A portrait of a man, sitting cross-legged on the floor","A portrait of a smiling man, sitting cross-legged on the floor",man,26025
168,"A portrait of a man, standing tall with shoulders relaxed","A portrait of a smiling man, standing tall with shoulders relaxed",man,11384
169,"A portrait of a man, leaning toward the camera with curiosity","A portrait of a smiling man, leaning toward the camera with curiosity",man,27146
170,"A portrait of a man, reclining back with a gentle smile","A portrait of a smiling man, reclining back with a gentle smile",man,43733
171,"A portrait of a man, stretching her arms above her head","A portrait of a smiling man, stretching her arms above her head",man,10539
172,"A portrait of a man, lifting her face toward the sunlight","A portrait of a smiling man, lifting her face toward the sunlight",man,34388
173,"A portrait of a man, balancing on one foot playfully","A portrait of a smiling man, balancing on one foot playfully",man,40057
174,"A portrait of a man, walking away from the viewer slowly","A portrait of a smiling man, walking away from the viewer slowly",man,12149
175,"A portrait of a man, clasping her jacket with both hands","A portrait of a smiling man, clasping her jacket with both hands",man,11322
176,"A portrait of a man, wearing a red scarf and looking thoughtful","A portrait of a smiling man, wearing a red scarf and looking thoughtful",man,34744
177,"A portrait of a man, wearing a floral crown in soft light","A portrait of a smiling man, wearing a floral crown in soft light",man,14096
178,"A portrait of a man, wearing a delicate silver necklace","A portrait of a smiling man, wearing a delicate silver necklace",man,1873
179,"A portrait of a man, holding a vintage camera outdoors","A portrait of a smiling man, holding a vintage camera outdoors",man,43012
180,"A portrait of a man, typing on a tablet at a cafe","A portrait of a smiling man, typing on a tablet at a cafe",man,42601
181,"A portrait of a man, wearing a formal suit with calm expression","A portrait of a smiling man, wearing a formal suit with calm expression",man,36276
182,"A portrait of a man, wearing a white shirt with rolled sleeves","A portrait of a smiling man, wearing a white shirt with rolled sleeves",man,43386
183,"A portrait of a man, adjusting her glasses while smiling","A portrait of a smiling man, adjusting her glasses while smiling",man,20496
184,"A portrait of a man, wearing a wide-brimmed hat by the seaside","A portrait of a smiling man, wearing a wide-brimmed hat by the seaside",man,41513
185,"A portrait of a man, holding a cup of coffee in both hands","A portrait of a smiling man, holding a cup of coffee in both hands",man,46033
186,"A portrait of a man, wearing a beige coat and scarf in autumn","A portrait of a smiling man, wearing a beige coat and scarf in autumn",man,29612
187,"A portrait of a man, holding an umbrella in light rain","A portrait of a smiling man, holding an umbrella in light rain",man,29668
188,"A portrait of a man, wearing headphones and lost in thought","A portrait of a smiling man, wearing headphones and lost in thought",man,36568
189,"A portrait of a man, wearing a delicate bracelet under sunlight","A portrait of a smiling man, wearing a delicate bracelet under sunlight",man,47318
190,"A portrait of a man, carrying a canvas bag on her shoulder","A portrait of a smiling man, carrying a canvas bag on her shoulder",man,37271
191,"A portrait of a man, holding a single flower near her chest","A portrait of a smiling man, holding a single flower near her chest",man,20822
192,"A portrait of a man, wearing dangling earrings and a soft smile","A portrait of a smiling man, wearing dangling earrings and a soft smile",man,45457
193,"A portrait of a man, wearing a red beret in winter light","A portrait of a smiling man, wearing a red beret in winter light",man,1766
194,"A portrait of a man, holding a notebook close to her chest","A portrait of a smiling man, holding a notebook close to her chest",man,46748
195,"A portrait of a man, wearing a long coat with her hands in pockets","A portrait of a smiling man, wearing a long coat with her hands in pockets",man,30542
196,"A portrait of a man, carrying a camera around her neck","A portrait of a smiling man, carrying a camera around her neck",man,16434
197,"A portrait of a man, wearing a silk scarf and elegant earrings","A portrait of a smiling man, wearing a silk scarf and elegant earrings",man,8293
198,"A portrait of a man, wearing a light shawl in the breeze","A portrait of a smiling man, wearing a light shawl in the breeze",man,24162
199,"A portrait of a man, holding sunglasses near her face","A portrait of a smiling man, holding sunglasses near her face",man,49584
200,"A portrait of a man, wearing a knitted sweater and smiling softly","A portrait of a smiling man, wearing a knitted sweater and smiling softly",man,24440
201,"A portrait of a man, wearing a straw hat under sunlight","A portrait of a smiling man, wearing a straw hat under sunlight",man,42798
202,"A portrait of a man, holding a cup of tea in a quiet cafe","A portrait of a smiling man, holding a cup of tea in a quiet cafe",man,10225
203,"A portrait of a man, wearing a golden pendant necklace","A portrait of a smiling man, wearing a golden pendant necklace",man,546
204,"A portrait of a man, holding a book close to her heart","A portrait of a smiling man, holding a book close to her heart",man,40414
205,"A portrait of a man, wearing a stylish trench coat","A portrait of a smiling man, wearing a stylish trench coat",man,43156
206,"A portrait of a man, wearing a pearl necklace in a dim room","A portrait of a smiling man, wearing a pearl necklace in a dim room",man,29736
207,"A portrait of a man, wearing a soft wool scarf and coat","A portrait of a smiling man, wearing a soft wool scarf and coat",man,35259
208,"A portrait of a man, holding a camera by her side","A portrait of a smiling man, holding a camera by her side",man,45481
209,"A portrait of a man, wearing a pair of elegant gloves","A portrait of a smiling man, wearing a pair of elegant gloves",man,19359
210,"A portrait of a man, holding a coffee cup near a window","A portrait of a smiling man, holding a coffee cup near a window",man,29922
211,"A portrait of a man, wearing small gold hoop earrings","A portrait of a smiling man, wearing small gold hoop earrings",man,37124
212,"A portrait of a man, holding a paper notebook and pen","A portrait of a smiling man, holding a paper notebook and pen",man,2535
213,"A portrait of a man, arranging flowers in a vase on her living room table","A portrait of an old man, arranging flowers in a vase on her living room table",man,28507
214,"A portrait of a man, reading a book beside a window with soft light","A portrait of an old man, reading a book beside a window with soft light",man,28903
215,"A portrait of a man, painting at an easel near a sunlit wall","A portrait of an old man, painting at an easel near a sunlit wall",man,49221
216,"A portrait of a man, making coffee in a cozy kitchen","A portrait of an old man, making coffee in a cozy kitchen",man,13169
217,"A portrait of a man, sitting by a piano and humming softly","A portrait of an old man, sitting by a piano and humming softly",man,28948
218,"A portrait of a man, writing in her journal at a wooden desk","A portrait of an old man, writing in her journal at a wooden desk",man,49999
219,"A portrait of a man, lying on a sofa under warm afternoon light","A portrait of an old man, lying on a sofa under warm afternoon light",man,49149
220,"A portrait of a man, sipping tea beside a curtain-draped window","A portrait of an old man, sipping tea beside a curtain-draped window",man,4551
221,"A portrait of a man, relaxing in a minimalist apartment","A portrait of an old man, relaxing in a minimalist apartment",man,32542
222,"A portrait of a man, folding clothes in a sunlit bedroom","A portrait of an old man, folding clothes in a sunlit bedroom",man,15437
223,"A portrait of a man, sketching quietly at her desk","A portrait of an old man, sketching quietly at her desk",man,477
224,"A portrait of a man, sitting near bookshelves filled with novels","A portrait of an old man, sitting near bookshelves filled with novels",man,49327
225,"A portrait of a man, sewing a piece of fabric by hand","A portrait of an old man, sewing a piece of fabric by hand",man,2832
226,"A portrait of a man, gazing at indoor plants on her balcony","A portrait of an old man, gazing at indoor plants on her balcony",man,37920
227,"A portrait of a man, lighting a scented candle on a small table","A portrait of an old man, lighting a scented candle on a small table",man,27715
228,"A portrait of a man, preparing breakfast at home","A portrait of an old man, preparing breakfast at home",man,40410
229,"A portrait of a man, looking out through sheer curtains","A portrait of an old man, looking out through sheer curtains",man,7119
230,"A portrait of a man, cleaning her camera lenses on the table","A portrait of an old man, cleaning her camera lenses on the table",man,33895
231,"A portrait of a man, listening to music on a vintage record player","A portrait of an old man, listening to music on a vintage record player",man,43236
232,"A portrait of a man, arranging books by color on a shelf","A portrait of an old man, arranging books by color on a shelf",man,2646
233,"A portrait of a man, stretching after morning yoga indoors","A portrait of an old man, stretching after morning yoga indoors",man,24422
234,"A portrait of a man, sitting on a rug surrounded by magazines","A portrait of an old man, sitting on a rug surrounded by magazines",man,6893
235,"A portrait of a man, working at a laptop in her study","A portrait of an old man, working at a laptop in her study",man,43008
236,"A portrait of a man, brushing her hair before a mirror","A portrait of an old man, brushing her hair before a mirror",man,18587
237,"A portrait of a man, wrapping a gift box with care","A portrait of an old man, wrapping a gift box with care",man,24624
238,"A portrait of a man, leaning against a soft beige wall","A portrait of an old man, leaning against a soft beige wall",man,5142
239,"A portrait of a man, adjusting lighting equipment in a home studio","A portrait of an old man, adjusting lighting equipment in a home studio",man,32497
240,"A portrait of a man, sitting near a fireplace holding a mug","A portrait of an old man, sitting near a fireplace holding a mug",man,32178
241,"A portrait of a man, opening a window to let the morning sun in","A portrait of an old man, opening a window to let the morning sun in",man,300
242,"A portrait of a man, practicing calligraphy at a wooden table","A portrait of an old man, practicing calligraphy at a wooden table",man,5978
243,"A portrait of a man, sorting through digital photos on her laptop","A portrait of an old man, sorting through digital photos on her laptop",man,3064
244,"A portrait of a man, playing with her cat on the bed","A portrait of an old man, playing with her cat on the bed",man,2560
245,"A portrait of a man, decorating her living room with candles","A portrait of an old man, decorating her living room with candles",man,2023
246,"A portrait of a man, watering indoor plants","A portrait of an old man, watering indoor plants",man,26898
247,"A portrait of a man, talking on the phone near a lamp","A portrait of an old man, talking on the phone near a lamp",man,13610
248,"A portrait of a man, arranging framed photos on a wall","A portrait of an old man, arranging framed photos on a wall",man,43672
249,"A portrait of a man, folding paper cranes under warm light","A portrait of an old man, folding paper cranes under warm light",man,27250
250,"A portrait of a man, tidying up her small workspace","A portrait of an old man, tidying up her small workspace",man,8573
251,"A portrait of a man, sitting on a windowsill lost in thought","A portrait of an old man, sitting on a windowsill lost in thought",man,37031
252,"A portrait of a man, browsing vinyl records in a cozy shop","A portrait of an old man, browsing vinyl records in a cozy shop",man,33056
253,"A portrait of a man, exploring a quiet bookstore","A portrait of an old man, exploring a quiet bookstore",man,32232
254,"A portrait of a man, observing art in a gallery","A portrait of an old man, observing art in a gallery",man,28443
255,"A portrait of a man, pausing inside a quiet museum","A portrait of an old man, pausing inside a quiet museum",man,42694
256,"A portrait of a man, using a laptop in a coworking space","A portrait of an old man, using a laptop in a coworking space",man,42582
257,"A portrait of a man, lounging in a greenhouse","A portrait of an old man, lounging in a greenhouse",man,28321
258,"A portrait of a man, walking through a historic street at dusk","A portrait of an old man, walking through a historic street at dusk",man,33919
259,"A portrait of a man, wandering an ancient courtyard","A portrait of an old man, wandering an ancient courtyard",man,44197
260,"A portrait of a man, standing on a cobblestone path after rain","A portrait of an old man, standing on a cobblestone path after rain",man,1068
261,"A portrait of a man, leaning on a bridge overlooking a river","A portrait of an old man, leaning on a bridge overlooking a river",man,17562
262,"A portrait of a man, walking through a quiet park in autumn","A portrait of an old man, walking through a quiet park in autumn",man,8718
263,"A portrait of a man, standing by a lighthouse during sunset","A portrait of an old man, standing by a lighthouse during sunset",man,48936
264,"A portrait of a man, resting on a rooftop garden with city views","A portrait of an old man, resting on a rooftop garden with city views",man,20087
