style,prompt,evaluation_seed
astrophotography,A astrophotography view emphasizing shadowed patterns and contrast within the snowy meadow.,39474
telephoto,"A telephoto photograph of a icy coral beach, emphasizing natural light and balanced tones.",21638
high saturation,"In high saturation fashion, the volcanic crater is shown in luminous hues and natural gradients.",33044
muted colors,"A muted colors picture of the serene lake, taken from a high vantage point showing its luminous beauty.",9190
sepia tone,A sepia tone creative landscape photograph featuring the mist-covered beauty of the rolling hills.,12469
HDR,"A HDR exploration of the coastal cliffs, revealing golden forms and light gradients.",19176
landscape,"In landscape style, a detailed shot of a serene coral beach surrounded by nature.",8788
fashion,"A fashion landscape scene portraying a tranquil desert dunes, with cinematic composition.",44064
surreal,A surreal creative landscape photograph featuring the mist-covered beauty of the rolling hills.,5963
underexposed,A scenic underexposed landscape capturing the beauty of the rolling hills under radiant skies.,48354
street photography,"A nature photo taken in street photography style, highlighting a mysterious snowy meadow with soft shadows.",18094
long exposure,"A long exposure photo of the rocky canyon, rich in texture and serene atmosphere.",5409
studio lighting,"A studio lighting nature image of the ancient ruins, blending moody light and composition.",2363
infrared,"A wide panoramic infrared view of a softly lit stormy sea, emphasizing scale and tranquility.",350
astrophotography,"An evocative astrophotography landscape photograph of the volcanic crater, balanced and radiant.",36081
astrophotography,"A detailed astrophotography landscape image of the forest valley, radiating mysterious energy and depth.",34962
natural lighting,"A finely detailed natural lighting photograph of the mountain range, with serene depth and perspective.",6320
cinematic,"Captured in cinematic aesthetic, the serene lake appears dramatic against the horizon.",4990
portrait,"A carefully composed portrait photo of the snowy meadow, filled with moody tones.",31035
telephoto,"A nature photo taken in telephoto style, highlighting a radiant serene lake with soft shadows.",25559
minimalist composition,"A large-format minimalist composition photo of a serene stormy sea, realistic lighting and crisp detail.",31002
natural lighting,"A natural lighting fine-art photo illustrating the serene lake, subtle and icy.",1709
infrared,"A infrared art photograph of the volcanic crater, with moody framing and luminous tone.",7073
natural lighting,A natural lighting creative landscape photograph featuring the moody beauty of the city skyline.,38649
soft focus,"A soft focus photograph showing the rocky canyon, rendered in softly lit clarity.",9262
monochrome,"A monochrome inspired shot of the desert dunes, emphasizing texture and sun-drenched atmosphere.",44271
astrophotography,A astrophotography scenic shot portraying mist-covered mountains and the desert dunes in harmony.,15331
surreal,"A surreal inspired shot of the autumn woodland, emphasizing texture and shadowed atmosphere.",45919
blue hour,"A blue hour photo of the city skyline, rich in texture and luminous atmosphere.",18465
surreal,A detailed surreal image illustrating the volcanic crater with radiant lighting and tone.,19792
fisheye,"A fisheye picture of the hidden waterfall, taken from a high vantage point showing its golden beauty.",22382
high saturation,"A high saturation scenic capture portraying a serene forest valley, cinematic framing and tone.",28251
natural lighting,"A natural lighting photo of the forest valley, rich in texture and mysterious atmosphere.",8214
fashion,A fashion panoramic capture showing the shadowed openness of the stormy sea.,38783
food,"Captured in food style, the volcanic crater reveals its mist-covered charm through subtle lighting.",40106
minimalist composition,A minimalist composition panoramic capture showing the sun-drenched openness of the hidden waterfall.,44444
macro,A macro photo highlighting the shadowed emotion of nature seen in the frozen river.,43865
soft focus,A soft focus panoramic capture showing the icy openness of the tropical island.,39107
long exposure,A long exposure panoramic capture showing the golden openness of the mountain range.,18433
landscape,"Captured in landscape aesthetic, the dense pine forest appears radiant against the horizon.",31095
minimalist composition,A minimalist composition photo series focusing on golden landscapes like the tropical island.,20808
long exposure,A long exposure view emphasizing dramatic patterns and contrast within the snowy meadow.,40478
surreal,A surreal view emphasizing crisp patterns and contrast within the stormy sea.,14390
pastel tone,"A pastel tone photography piece showing the rocky canyon, filled with sun-drenched atmosphere.",25093
muted colors,"A muted colors inspired photograph of the hidden waterfall, composed with vivid balance and detail.",21032
sepia tone,"Captured in sepia tone style, the snowy meadow reveals its crisp charm through subtle lighting.",29241
astrophotography,A scenic astrophotography landscape capturing the beauty of the volcanic crater under serene skies.,14602
fashion,"A fashion photography composition of the tropical island, highlighting its glowing environment.",42194
fashion,A fashion scenic shot portraying moody mountains and the forest valley in harmony.,9615
portrait,"A nature photo taken in portrait style, highlighting a glowing rocky canyon with soft shadows.",7024
infrared,A infrared photograph of a rocky canyon bathed in icy afternoon light and atmospheric tones.,17693
surreal,"A surreal nature image of the dense pine forest, blending mist-covered light and composition.",10842
street photography,"In street photography photography, a ethereal depiction of the misty jungle during twilight.",47536
fashion,"A fashion inspired shot of the tropical island, emphasizing texture and golden atmosphere.",27119
minimalist composition,"In a minimalist composition mood, this image captures the softly lit serenity of the dense pine forest.",21364
minimalist composition,"A documentary-style minimalist composition image of the forest valley, deeply golden and realistic.",17118
documentary,"A documentary fine-art photo illustrating the frozen river, subtle and shadowed.",2120
minimalist,"A minimalist photography composition of the snowy meadow, highlighting its breathtaking environment.",44520
macro,"Captured in macro style, the ancient ruins reveals its melancholic charm through subtle lighting.",31837
low light,"A low light scenic capture portraying a mysterious frozen river, cinematic framing and tone.",321
golden hour,"A golden hour inspired photograph of the hidden waterfall, composed with vivid balance and detail.",30747
minimalist,"In minimalist photography, a crisp depiction of the serene lake during twilight.",9526
muted colors,"A muted colors photograph showing the frozen river, rendered in tranquil clarity.",14065
high contrast,A high contrast travel photo that captures the dramatic essence of the hidden waterfall.,26541
architectural,"In architectural photography, a ethereal depiction of the sunlit meadow during twilight.",46335
overexposed,"A overexposed photograph showing the mountain range, rendered in ethereal clarity.",32696
minimalist,A minimalist photograph depicting the moody stillness of the coral beach at dawn.,399
underexposed,A underexposed creative landscape photograph featuring the sun-drenched beauty of the dense pine forest.,45970
soft focus,"A soft focus landscape taken with majestic precision, showing the snowy meadow in full glory.",46582
blue hour,"A cinematic blue hour photograph of the autumn woodland, under mist-covered evening light.",3722
pastel tone,"A pastel tone nature image of the rocky canyon, blending radiant light and composition.",22554
street photography,A street photography photo highlighting the tranquil emotion of nature seen in the coastal cliffs.,23187
black-and-white,"A black-and-white landscape scene portraying a mist-covered sunlit meadow, with cinematic composition.",25198
minimalist composition,"A minimalist composition photography piece showing the rolling hills, filled with dramatic atmosphere.",13530
soft focus,A soft focus frame capturing radiant weather and mood around the rolling hills.,31028
architectural,"A architectural image revealing the vivid grandeur of the hidden waterfall, subtle yet powerful.",28984
monochrome,"A monochrome visual study of the coastal cliffs, exploring its sun-drenched texture and lighting.",4773
sepia tone,A sepia tone travel photo that captures the majestic essence of the rolling hills.,40538
minimalist,"A minimalist exploration of the snowy meadow, revealing tranquil forms and light gradients.",10068
film grain,A film grain photograph depicting the serene stillness of the misty jungle at dawn.,10064
portrait,"A wide panoramic portrait view of a breathtaking forest valley, emphasizing scale and tranquility.",48839
neon lighting,"A nature photo taken in neon lighting style, highlighting a ethereal volcanic crater with soft shadows.",40396
minimalist composition,"In a minimalist composition mood, this image captures the icy serenity of the desert dunes.",38373
macro,"A macro inspired shot of the stormy sea, emphasizing texture and ethereal atmosphere.",27571
cinematic,"In a cinematic mood, this image captures the glowing serenity of the autumn woodland.",7757
muted colors,A scenic muted colors landscape capturing the beauty of the hidden waterfall under moody skies.,36287
high saturation,"An artistic high saturation image showing a mysterious view of the desert dunes, taken at sunrise.",43734
bokeh,"A bokeh outdoor shot of a stormy sea, featuring moody lighting and natural tones.",26959
natural lighting,"A natural lighting picture of the hidden waterfall, taken from a high vantage point showing its tranquil beauty.",37401
documentary,"Captured in documentary style, the rolling hills reveals its glowing charm through subtle lighting.",28889
fashion,"A fashion fine-art photo illustrating the city skyline, subtle and majestic.",31998
architectural,"A architectural inspired shot of the forest valley, emphasizing texture and crisp atmosphere.",22634
high contrast,"A high contrast photo of the coastal cliffs, rich in texture and glowing atmosphere.",7498
street photography,"A street photography photography composition of the stormy sea, highlighting its glowing environment.",1399
blue hour,"A blue hour landscape taken with vivid precision, showing the hidden waterfall in full glory.",34881
underexposed,"In a underexposed mood, this image captures the golden serenity of the hidden waterfall.",18436
vintage,A vintage photograph focusing on the mysterious interplay between light and the coastal cliffs.,36597
telephoto,A telephoto frame capturing sun-drenched weather and mood around the desert dunes.,45813
blue hour,A blue hour panoramic capture showing the vivid openness of the misty jungle.,2251
architectural,A architectural creative landscape photograph featuring the softly lit beauty of the snowy meadow.,23828
studio lighting,"A finely detailed studio lighting photograph of the misty jungle, with majestic depth and perspective.",72
HDR,A HDR photograph focusing on the ethereal interplay between light and the city skyline.,16041
natural lighting,"A natural lighting landscape taken with golden precision, showing the tropical island in full glory.",54
product,A product view emphasizing melancholic patterns and contrast within the forest valley.,30640
product,"A product landscape scene portraying a sun-drenched sunlit meadow, with cinematic composition.",28621
food,A food frame capturing sun-drenched weather and mood around the coral beach.,15994
cinematic,"A large-format cinematic photo of a radiant serene lake, realistic lighting and crisp detail.",9688
infrared,An outdoor infrared photo portraying the forest valley in melancholic natural tones.,18035
pastel tone,A scenic pastel tone landscape capturing the beauty of the rocky canyon under moody skies.,45234
vintage,"A detailed vintage landscape image of the rocky canyon, radiating luminous energy and depth.",45690
vintage,"An artistic vintage image showing a icy view of the hidden waterfall, taken at sunrise.",49234
studio lighting,A studio lighting travel photo that captures the tranquil essence of the coral beach.,11228
landscape,"A landscape capture of a breathtaking volcanic crater, rendered in photorealistic lighting.",26830
landscape,A landscape creative landscape photograph featuring the moody beauty of the coastal cliffs.,9089
street photography,A street photography scenic shot portraying icy mountains and the stormy sea in harmony.,7922
astrophotography,"Captured in astrophotography aesthetic, the autumn woodland appears mist-covered against the horizon.",2611
sepia tone,"A finely detailed sepia tone photograph of the city skyline, with icy depth and perspective.",7279
documentary,"A finely detailed documentary photograph of the rolling hills, with shadowed depth and perspective.",5861
telephoto,"A telephoto photo of the coastal cliffs, rich in texture and melancholic atmosphere.",10253
landscape,"A landscape art photograph of the autumn woodland, with serene framing and luminous tone.",21123
HDR,"A HDR inspired photograph of the snowy meadow, composed with breathtaking balance and detail.",32705
studio lighting,A scenic studio lighting landscape capturing the beauty of the stormy sea under moody skies.,16433
minimalist,"A minimalist photograph of a mysterious ancient ruins, emphasizing natural light and balanced tones.",48804
golden hour,"A golden hour photo of the city skyline, rich in texture and glowing atmosphere.",39037
product,A product view emphasizing breathtaking patterns and contrast within the tropical island.,40710
high contrast,"A high contrast inspired photograph of the rolling hills, composed with mist-covered balance and detail.",43350
food,"An evocative food landscape photograph of the forest valley, balanced and golden.",9732
bokeh,"A bokeh landscape taken with majestic precision, showing the sunlit meadow in full glory.",13025
pastel tone,"In pastel tone fashion, the autumn woodland is shown in softly lit hues and natural gradients.",20453
architectural,"A wide panoramic architectural view of a luminous rocky canyon, emphasizing scale and tranquility.",9423
astrophotography,A astrophotography photograph depicting the mist-covered stillness of the snowy meadow at dawn.,38670
street photography,"A street photography photography composition of the sunlit meadow, highlighting its melancholic environment.",24461
telephoto,"A telephoto fine-art photo illustrating the misty jungle, subtle and mysterious.",42234
fashion,A fashion view emphasizing icy patterns and contrast within the snowy meadow.,42909
bokeh,"A detailed bokeh landscape image of the rolling hills, radiating icy energy and depth.",16705
architectural,"A architectural photograph of a golden misty jungle, emphasizing natural light and balanced tones.",4436
fisheye,"An evocative fisheye landscape photograph of the ancient ruins, balanced and radiant.",26392
dreamy,"A dreamy scenic capture portraying a moody desert dunes, cinematic framing and tone.",29617
product,"A product art photograph of the coral beach, with shadowed framing and luminous tone.",4791
studio lighting,"A nature photo taken in studio lighting style, highlighting a softly lit coral beach with soft shadows.",17868
underexposed,"Captured in underexposed aesthetic, the stormy sea appears crisp against the horizon.",25556
landscape,A landscape view emphasizing glowing patterns and contrast within the volcanic crater.,27336
overexposed,"A overexposed photograph of a golden forest valley, emphasizing natural light and balanced tones.",42249
fisheye,A fisheye photograph depicting the crisp stillness of the coral beach at dawn.,47670
macro,An outdoor macro photo portraying the rocky canyon in majestic natural tones.,11803
macro,"A macro inspired shot of the misty jungle, emphasizing texture and glowing atmosphere.",12239
underexposed,"A underexposed landscape taken with moody precision, showing the frozen river in full glory.",8599
natural lighting,A natural lighting photo highlighting the melancholic emotion of nature seen in the coral beach.,45637
macro,"A macro photograph of a tranquil volcanic crater, emphasizing natural light and balanced tones.",33579
monochrome,"A monochrome landscape taken with majestic precision, showing the desert dunes in full glory.",36455
natural lighting,"A natural lighting photo of the rolling hills, rich in texture and icy atmosphere.",28403
astrophotography,A astrophotography creative landscape photograph featuring the radiant beauty of the rolling hills.,45271
portrait,A portrait photograph of a misty jungle bathed in ethereal afternoon light and atmospheric tones.,30698
astrophotography,"A astrophotography photograph showing the coastal cliffs, rendered in majestic clarity.",8028
natural lighting,"An artistic natural lighting image showing a majestic view of the hidden waterfall, taken at sunrise.",19124
minimalist composition,"In minimalist composition style, a detailed shot of a glowing stormy sea surrounded by nature.",47579
fisheye,"A fisheye photograph of a mist-covered mountain range, emphasizing natural light and balanced tones.",39210
blue hour,A detailed blue hour image illustrating the tropical island with radiant lighting and tone.,41368
wide-angle,"A nature photo taken in wide-angle style, highlighting a softly lit sunlit meadow with soft shadows.",47288
vintage,"A carefully composed vintage photo of the sunlit meadow, filled with icy tones.",32312
documentary,"In documentary style, a detailed shot of a moody rolling hills surrounded by nature.",14191
infrared,A detailed infrared image illustrating the rolling hills with icy lighting and tone.,27858
underexposed,"A wide panoramic underexposed view of a shadowed coastal cliffs, emphasizing scale and tranquility.",44232
soft focus,"A soft focus photo of the hidden waterfall, rich in texture and glowing atmosphere.",4149
architectural,"In architectural photography, a icy depiction of the serene lake during twilight.",35860
high contrast,A high contrast photograph focusing on the serene interplay between light and the coastal cliffs.,4569
food,A detailed food image illustrating the frozen river with mist-covered lighting and tone.,8717
fashion,"A detailed fashion landscape image of the forest valley, radiating mist-covered energy and depth.",38727
landscape,A scenic landscape landscape capturing the beauty of the tropical island under luminous skies.,11645
telephoto,"A nature photo taken in telephoto style, highlighting a shadowed autumn woodland with soft shadows.",37759
low light,"A low light fine-art photo illustrating the snowy meadow, subtle and luminous.",35068
surreal,"A surreal landscape scene of a forest valley beneath sun-drenched clouds, 8k resolution realism.",43377
black-and-white,A black-and-white photograph depicting the mysterious stillness of the serene lake at dawn.,30226
telephoto,A telephoto frame capturing tranquil weather and mood around the stormy sea.,40916
documentary,"A large-format documentary photo of a crisp tropical island, realistic lighting and crisp detail.",5252
soft focus,"A soft focus capture of a vivid frozen river, rendered in photorealistic lighting.",34544
fisheye,A fisheye photo highlighting the ethereal emotion of nature seen in the sunlit meadow.,44185
low light,"A low light picture of the mountain range, taken from a high vantage point showing its softly lit beauty.",45813
architectural,A architectural photograph focusing on the vivid interplay between light and the forest valley.,2768
minimalist composition,"A minimalist composition landscape scene portraying a moody rolling hills, with cinematic composition.",14419
high contrast,"A high contrast capture of a crisp coral beach, rendered in photorealistic lighting.",26837
telephoto,"A telephoto fine-art photo illustrating the frozen river, subtle and glowing.",14086
infrared,"A infrared landscape scene of a hidden waterfall beneath dramatic clouds, 8k resolution realism.",15853
documentary,"A documentary outdoor shot of a coastal cliffs, featuring dramatic lighting and natural tones.",32857
golden hour,A golden hour frame capturing crisp weather and mood around the rocky canyon.,19162
neon lighting,"A detailed neon lighting landscape image of the autumn woodland, radiating moody energy and depth.",1170
street photography,"A documentary-style street photography image of the misty jungle, deeply serene and realistic.",12641
bokeh,"A bokeh photography piece showing the sunlit meadow, filled with serene atmosphere.",38468
monochrome,"An artistic monochrome image showing a glowing view of the rocky canyon, taken at sunrise.",39513
dreamy,"In a dreamy mood, this image captures the radiant serenity of the tropical island.",1049
vintage,A vintage frame capturing radiant weather and mood around the desert dunes.,49907
macro,"An evocative macro landscape photograph of the volcanic crater, balanced and sun-drenched.",40919
high saturation,"A carefully composed high saturation photo of the volcanic crater, filled with tranquil tones.",44918
food,"A food capture of a moody misty jungle, rendered in photorealistic lighting.",9448
golden hour,A scenic golden hour landscape capturing the beauty of the rolling hills under serene skies.,44945
high saturation,"A high saturation nature image of the autumn woodland, blending glowing light and composition.",29983
sepia tone,"A sepia tone inspired photograph of the forest valley, composed with luminous balance and detail.",11649
sepia tone,"A sepia tone fine-art photo illustrating the autumn woodland, subtle and ethereal.",3468
architectural,"A architectural art photograph of the rolling hills, with dramatic framing and luminous tone.",30987
high saturation,"A high saturation image revealing the moody grandeur of the hidden waterfall, subtle yet powerful.",18234
infrared,"A cinematic infrared photograph of the ancient ruins, under dramatic evening light.",32962
fashion,"In fashion fashion, the rolling hills is shown in vivid hues and natural gradients.",31816
astrophotography,"A astrophotography fine-art photo illustrating the autumn woodland, subtle and luminous.",28798
vintage,"A vintage inspired photograph of the coastal cliffs, composed with dramatic balance and detail.",3119
food,A food photograph depicting the vivid stillness of the volcanic crater at dawn.,6318
minimalist,A minimalist photo highlighting the radiant emotion of nature seen in the rocky canyon.,5877
golden hour,A golden hour panoramic capture showing the tranquil openness of the misty jungle.,30588
wide-angle,"A wide-angle picture of the misty jungle, taken from a high vantage point showing its ethereal beauty.",15251
macro,A scenic macro landscape capturing the beauty of the rolling hills under shadowed skies.,45556
pastel tone,"A pastel tone photography composition of the forest valley, highlighting its tranquil environment.",38969
natural lighting,"Captured in natural lighting style, the volcanic crater reveals its radiant charm through subtle lighting.",14138
studio lighting,A studio lighting travel photo that captures the breathtaking essence of the desert dunes.,27317
soft focus,A scenic soft focus landscape capturing the beauty of the rolling hills under mysterious skies.,25591
HDR,"In HDR photography, a luminous depiction of the dense pine forest during twilight.",40092
low light,"A low light landscape scene portraying a serene snowy meadow, with cinematic composition.",30080
wide-angle,A wide-angle travel photo that captures the mist-covered essence of the misty jungle.,23343
black-and-white,"A black-and-white photograph showing the forest valley, rendered in luminous clarity.",32530
overexposed,An outdoor overexposed photo portraying the hidden waterfall in sun-drenched natural tones.,6585
long exposure,"A nature photo taken in long exposure style, highlighting a radiant tropical island with soft shadows.",1200
golden hour,"A finely detailed golden hour photograph of the desert dunes, with ethereal depth and perspective.",21685
pastel tone,"In pastel tone photography, a melancholic depiction of the hidden waterfall during twilight.",20900
product,"A product image revealing the tranquil grandeur of the serene lake, subtle yet powerful.",38963
dreamy,A dreamy photo series focusing on crisp landscapes like the tropical island.,47106
film grain,A scenic film grain landscape capturing the beauty of the frozen river under melancholic skies.,45285
dreamy,"A dreamy capture of a melancholic sunlit meadow, rendered in photorealistic lighting.",13024
low light,"A low light nature image of the rolling hills, blending softly lit light and composition.",38688
surreal,"A large-format surreal photo of a golden city skyline, realistic lighting and crisp detail.",34269
blue hour,A blue hour scenic shot portraying golden mountains and the sunlit meadow in harmony.,8506
fisheye,"A fisheye scenic capture portraying a luminous ancient ruins, cinematic framing and tone.",6978
long exposure,"A long exposure landscape scene of a dense pine forest beneath mist-covered clouds, 8k resolution realism.",35784
natural lighting,A natural lighting view emphasizing icy patterns and contrast within the snowy meadow.,7813
fashion,A fashion view emphasizing sun-drenched patterns and contrast within the misty jungle.,17924
fisheye,A fisheye view emphasizing glowing patterns and contrast within the rolling hills.,519
neon lighting,"A neon lighting capture of a moody tropical island, rendered in photorealistic lighting.",14667
pastel tone,"A pastel tone landscape scene portraying a serene dense pine forest, with cinematic composition.",49253
landscape,"A carefully composed landscape photo of the stormy sea, filled with melancholic tones.",49476
